J-Ks designation name spt
1.876 J144825.80+103157.9 None 14.0
1.359 J144137.01-094559.1 "DENIS-P J144137.3-094559" 10.5
1.884 J001659.72-405653.6 None 13.5
1.774 J233925.43+350716.3 None 13.5
1.842 J020823.83+273738.8 None 15.0
2.033 J083542.14-081920.1 "V488 Hya, 2MASS J08354256-0819237" 15.0
2.008 J035822.60-411604.9 None 15.0
1.819 J213952.22+214839.4 None 13.0
1.919 J040707.56+154645.1 None 14.0
1.665 J090546.55+562312.9 None 15.0
2.053 None g1963b 12.0
2.04 J033703.73-175806.6 None 14.5
1.611 J122815.34-154736.4 "DENIS-P J122815.2-154733, 2MASS J12281523-1547342, 2MUCD 11073, WISEP J122815.35-154736.4" 15.0
1.919 J123927.44+551537.3 "2MASS 1239+5515" 15.0
1.393 J232029.43+412342.2 None 11.0
1.409 J192230.79+661020.6 None 11.0
1.836 J031013.90-275645.8 None 15.0
1.404 J153921.29+650237.1 None 11.0
1.885 J062445.89-452150.9 "2MASS J06244595-4521548, DENIS-P J062445.8-452156" 15.0
1.817 J065230.58+471036.5 None 15.0
1.895 J132629.64-003832.6 "SDSS J132629.82-003831.5, WISEP J132629.66-003832.6, 2MASS J13262981-0038314" 15.5
1.707 J092839.57-160312.3 None 12.0
1.796 J231531.39+061714.2 2M2315+0617 12.0
1.969 J231747.36-483849.4 None 14.0
1.808 J110009.49+495745.4 None 13.5
1.345 J115442.09-340038.8 "DENIS-P J115442.2-340039" 10.0
1.386 J101707.58+130838.6 "2MASSI J1017075+130839" 11.0
1.484 J023559.93-233120.5 "GJ 1048B, 2MASS J02355993-2331205, HD 16270B" 11.0
1.811 J005110.83-154417.1 None 13.5
1.938 J002503.65+475919.1 "HD 2057B, 2MASS J00250365+4759191" 14.0
1.876 J003324.08-152130.5 None 14.0
1.357 J072314.69+572705.6 None 11.0
1.339 None None 11.0
1.938 J184108.66+311728.5 "2MASSW J1841086+311727" 14.0
1.589 J143832.74+572216.8 "SDSS J143832.63+572216.9" 15.0
1.397 J205754.09-025231.1 2m2057 11.0
1.946 J221207.17+343033.3 None 15.0
1.583 J060222.12+633636.5 None 11.0
1.517 J054318.94+642250.3 None 11.0
1.332 J18071593+5015316 "USNO-B1.0 1402-00308413, 2MASS J18071593+5015316, WISEP J180715.97+501530.2" 11.5
1.691 J071716.23+570543.6 None 13.0
2.479 None 2M01614+4953 14.0
2.38 2MASSJ21481628+4003593 2MASSJ21481628+4003593 16.0
2.45 2MASSWJ2244316+204343 2MASSWJ2244316+204343 16.5
1.96 2MASSJ21321145+1341584 2MASSJ21321145+1341584 16.0
